feature,importance
X19,0.17727240893156723
X22,0.08351089331079024
X7,0.06489598207471658
X6,0.06110695323883604
X8,0.05554988507366488
X5,0.04560005922828337
X4,0.04497964825772391
X17,0.03750258691410378
X2,0.03641134001113634
X36,0.034968185844588204
X25,0.03337853759935295
X23,0.03088890002523762
X21,0.02878546600798376
X18,0.023106558009583184
X9,0.02234443610043251
X1,0.0214765042438921
X49,0.020997205751092336
X16,0.020726946248329166
X39,0.020626455020450088
X3,0.019208154708711875
X10,0.016676338376779166
X20,0.013434202506082798
X32,0.013073875943100112
X28,0.012979018240080697
X50,0.011464089622225834
X42,0.00806629314521688
X34,0.007199781459935216
X35,0.007175054800580255
X31,0.006950217543174998
X15,0.0054601114554772776
X13,0.00392948237945262
X11,0.002655673617426816
X24,0.0021275871681230973
X44,0.0015431813941926028
X38,0.0009741501181698691
X43,0.0006360447482425812
X41,0.0005019244923880374
X14,0.00045189373174545826
X40,0.0003974424573443226
X12,0.0003932188677795116
X26,0.00029930125978221074
X45,0.0002642357485224395
X37,6.828848865277601e-06
X51,2.945474835834246e-06
X33,0.0
X30,0.0
X46,0.0
X47,0.0
X48,0.0
X29,0.0
X27,0.0
